{{5, 2, 3, 1, 4}, {1, 2, 5, 3, 4}, INDEX_SHIFT}
{{5, 2, 3, 4, 1}, {1, 2, 3, 5, 4}, INDEX_SHIFT}
{{5, 2, 4, 1, 3}, {1, 3, 5, 2, 4}, INDEX_SHIFT}
{{5, 2, 4, 3, 1}, {1, 3, 2, 5, 4}, INDEX_SHIFT}
{{5, 3, 1, 2, 4}, {1, 2, 4, 5, 3}, INDEX_SHIFT}
{{5, 3, 1, 4, 2}, {1, 3, 5, 2, 4}, INDEX_SHIFT}
{{5, 3, 2, 1, 4}, {1, 2, 5, 4, 3}, INDEX_SHIFT}
{{5, 3, 2, 4, 1}, {1, 3, 2, 5, 4}, INDEX_SHIFT}
{{5, 3, 4, 1, 2}, {1, 4, 5, 2, 3}, INDEX_SHIFT}
{{5, 3, 4, 2, 1}, {1, 5, 4, 2, 3}, INDEX_SHIFT}
{{5, 4, 1, 2, 3}, {1, 3, 4, 5, 2}, INDEX_SHIFT}
{{5, 4, 1, 3, 2}, {1, 3, 5, 4, 2}, INDEX_SHIFT}
{{5, 4, 2, 1, 3}, {1, 3, 5, 4, 2}, INDEX_SHIFT}
{{5, 4, 2, 3, 1}, {1, 2, 5, 4, 3}, INDEX_SHIFT}
{{5, 4, 3, 1, 2}, {1, 4, 5, 3, 2}, INDEX_SHIFT}
{{5, 4, 3, 2, 1}, {1, 5, 4, 3, 2}, INDEX_SHIFT}
